2026-04-07 17:31:26.016 [restartedMain] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2026-04-07 17:31:26.339 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2026-04-07 17:31:26.355 [restartedMain] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2026-04-07 17:31:26.379 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2026-04-07 17:31:26.380 [Druid-ConnectionPool-Create-1050034504] INFO  com.alibaba.druid.pool.DruidAbstractDataSource - {dataSource-1} failContinuous is true
2026-04-07 17:35:09.529 [restartedMain] INFO  com.shanzhu.tourism.BackendApplication - Starting BackendApplication using Java 17.0.5 on LAPTOP-ELU8RJ75 with PID 7484 (C:\Users\AS\Desktop\006\006-旅游推荐管理系统\tourism-backend\target\classes started by AS in C:\Users\AS\Desktop\006\006-旅游推荐管理系统\tourism-backend)
2026-04-07 17:35:09.532 [restartedMain] INFO  com.shanzhu.tourism.BackendApplication - The following profiles are active: dev
2026-04-07 17:35:09.562 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-04-07 17:35:09.562 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-04-07 17:35:10.011 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2026-04-07 17:35:10.014 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-07 17:35:10.044 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22 ms. Found 0 Redis repository interfaces.
2026-04-07 17:35:10.543 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-04-07 17:35:10.550 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-07 17:35:10.550 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-04-07 17:35:10.550 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2026-04-07 17:35:10.552 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.3.1] using APR version [1.7.4].
2026-04-07 17:35:10.552 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2026-04-07 17:35:10.552 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2026-04-07 17:35:10.554 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 3.0.14 4 Jun 2024]
2026-04-07 17:35:10.614 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-07 17:35:10.615 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1052 ms
2026-04-07 17:35:10.860 [restartedMain] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2026-04-07 17:35:11.095 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2026-04-07 17:35:11.108 [restartedMain] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2026-04-07 17:35:11.123 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2026-04-07 17:35:11.130 [Druid-ConnectionPool-Create-340640177] INFO  com.alibaba.druid.pool.DruidAbstractDataSource - {dataSource-1} failContinuous is true
2026-04-07 20:07:02.305 [restartedMain] INFO  com.shanzhu.tourism.BackendApplication - Starting BackendApplication using Java 17.0.5 on LAPTOP-ELU8RJ75 with PID 37736 (C:\Users\AS\Desktop\006\006-旅游推荐管理系统\tourism-backend\target\classes started by AS in C:\Users\AS\Desktop\006\006-旅游推荐管理系统\tourism-backend)
2026-04-07 20:07:02.308 [restartedMain] INFO  com.shanzhu.tourism.BackendApplication - The following profiles are active: dev
2026-04-07 20:07:02.353 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-04-07 20:07:02.354 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-04-07 20:07:03.068 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2026-04-07 20:07:03.072 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-07 20:07:03.114 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 27 ms. Found 0 Redis repository interfaces.
2026-04-07 20:07:03.822 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-04-07 20:07:03.831 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-07 20:07:03.831 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-04-07 20:07:03.832 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2026-04-07 20:07:03.833 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.3.1] using APR version [1.7.4].
